rp;tn;begin;end
70;603073;01.04.2019;31.12.9999
70;603075;01.01.2010;31.12.9999
70;603075;25.01.2012;31.12.9999
70;603075;23.03.2020;31.12.9999
70;603076;14.04.2010;31.12.9999
70;603077;01.07.2014;31.12.9999
70;603077;01.01.2016;31.12.9999
70;603077;01.11.2019;31.12.9999
70;603078;01.01.2016;31.12.9999
70;603079;01.01.2013;31.12.9999
70;603079;07.12.2019;31.12.9999
70;603080;18.07.2006;31.12.9999
70;603080;10.10.2020;31.12.9999
70;603081;01.01.2010;31.12.9999
70;603081;01.01.2013;31.12.9999
70;603082;01.07.2012;31.12.9999
70;603082;01.07.2014;31.12.9999
70;603083;01.01.2016;31.12.9999
70;603085;01.01.2018;31.12.9999
70;603086;01.07.2014;31.12.9999
70;603086;01.04.2019;31.12.9999
70;603088;24.05.2005;31.12.9999
70;603088;01.09.2007;31.12.9999
70;603094;15.04.2015;31.12.9999
70;603094;16.05.2016;31.12.9999
70;603095;07.04.2011;31.12.9999
70;603095;13.07.2020;31.12.9999
70;603096;10.06.2013;31.12.9999
70;603096;01.01.2016;31.12.9999
70;603097;01.09.2017;31.12.9999
70;603098;01.09.2017;31.12.9999
70;603099;16.04.2007;31.12.9999
70;603099;07.06.2011;31.12.9999
70;603100;01.01.2010;31.12.9999
70;603100;23.04.2014;31.12.9999
70;603102;02.11.2020;31.12.9999
70;603103;01.01.2013;31.12.9999
70;603103;16.07.2015;31.12.9999
70;603103;20.02.2016;31.12.9999
70;603105;01.01.2016;31.12.9999
70;603106;01.01.2016;31.12.9999
70;603107;10.06.2013;31.12.9999
70;603110;01.01.2013;31.12.9999
70;603110;01.01.2016;31.12.9999
70;603110;01.11.2018;31.12.9999
70;603111;24.09.2020;31.12.9999
70;603112;15.03.2011;31.12.9999
70;603114;01.01.2016;31.12.9999
70;603114;10.10.2020;31.12.9999
70;603115;01.01.2010;31.12.9999
70;603115;23.03.2011;31.12.9999
70;603118;18.08.2018;31.12.9999
70;603118;23.10.2019;31.12.9999
70;603119;30.09.2013;31.12.9999
70;603119;13.01.2014;31.12.9999
70;603119;25.09.2019;31.12.9999
70;603120;09.04.2013;31.12.9999
70;603122;01.01.2017;31.12.9999
70;603123;18.04.2011;31.12.9999
70;603124;07.05.2018;31.12.9999
70;603124;25.07.2018;31.12.9999
70;603125;01.03.2012;31.12.9999
70;603125;01.01.2018;31.12.9999
70;603127;01.01.2016;31.12.9999
70;603127;08.10.2018;31.12.9999
70;603128;22.12.2006;31.12.9999
70;603128;01.01.2018;31.12.9999
70;603129;01.01.2017;31.12.9999
70;603130;01.08.2003;31.12.9999
70;603131;01.12.2015;31.12.9999
70;603133;18.07.2006;31.12.9999
70;603133;01.01.2017;31.12.9999
70;603134;23.10.2020;31.12.9999
70;603135;12.02.2013;31.12.9999
70;603135;01.01.2017;31.12.9999
70;603136;01.01.2013;31.12.9999
70;603136;01.01.2016;31.12.9999
70;603136;25.12.2018;31.12.9999
70;603139;01.01.2016;31.12.9999
70;603140;01.01.2013;31.12.9999
70;603140;01.01.2017;31.12.9999
70;603141;01.01.2017;31.12.9999
70;603142;01.01.2016;31.12.9999
70;603142;08.10.2018;31.12.9999
70;603143;01.01.2017;31.12.9999
70;603143;18.12.2017;31.12.9999
70;603144;01.01.2010;31.12.9999
70;603144;01.10.2018;31.12.9999
70;603145;13.08.2001;31.12.9999
70;603145;01.01.2010;31.12.9999
70;603145;11.01.2013;31.12.9999
70;603146;01.01.2013;31.12.9999
70;603146;01.01.2016;31.12.9999
70;603150;01.01.2010;31.12.9999
70;603150;01.03.2019;31.12.9999
70;603151;01.01.2010;31.12.9999
70;603151;07.03.2018;31.12.9999
70;603152;01.01.2010;31.12.9999
70;603152;23.01.2014;31.12.9999
70;603152;25.09.2019;31.12.9999
70;603156;01.01.2010;31.12.9999
70;603156;01.03.2012;31.12.9999
70;603157;14.05.2018;31.12.9999
70;603157;01.06.2020;31.12.9999
70;603158;17.08.1994;31.12.9999
70;603158;01.01.2016;31.12.9999
70;603159;01.01.2010;31.12.9999
70;603159;01.06.2010;31.12.9999
70;603161;27.07.2015;31.12.9999
70;603161;23.05.2017;31.12.9999
70;603161;01.03.2020;31.12.9999
70;603162;01.01.1999;31.12.9999
70;603162;18.01.2013;31.12.9999
70;603163;01.01.2013;31.12.9999
70;603163;01.01.2017;31.12.9999
70;603164;10.11.2011;31.12.9999
70;603165;14.10.2016;31.12.9999
70;603165;26.05.2018;31.12.9999
70;603165;18.05.2019;31.12.9999
70;603166;15.02.2007;31.12.9999
70;603166;01.01.2010;31.12.9999
70;603169;26.05.2020;31.12.9999
70;603170;01.01.2010;31.12.9999
70;603170;01.01.2018;31.12.9999
70;603171;01.01.2013;31.12.9999
70;603171;18.02.2013;31.12.9999
70;603171;04.02.2014;31.12.9999
70;603171;01.10.2016;31.12.9999
70;603176;10.06.2010;31.12.9999
70;603176;09.11.2015;31.12.9999
70;603178;14.02.2019;31.12.9999
70;603180;09.07.1998;31.12.9999
70;603180;01.01.2017;31.12.9999
70;603183;01.07.2012;31.12.9999
70;603183;01.07.2014;31.12.9999
70;603183;07.04.2016;31.12.9999
70;603187;01.01.2014;31.12.9999
70;603187;17.02.2017;31.12.9999
70;603190;04.09.1990;31.12.9999
70;603194;10.10.2008;31.12.9999
70;603194;16.03.2018;31.12.9999
70;603196;26.01.2015;31.12.9999
70;603196;01.04.2019;31.12.9999
70;603197;30.09.2017;31.12.9999
